Alabama	157	61	24	55	50	50	397
Alaska	126	150	87	74	70	70	577
Arizona	141	54	53	43	70	50	411
Arkansas	116	88	24	37	43	30	336
California	153	64	76	59	50	50	452
Colorado	97	81	41	68	43	30	360
Connecticut	182	143	41	36	30	30	462
Delaware	123	93	48	79	43	30	415
Florida	154	46	34	67	70	50	422
Georgia	139	92	28	86	43	30	417
Hawaii	215	83	64	125	50	50	586
Idaho	96	50	49	113	42	20	371
Illinois	106	129	26	27	43	30	361
Indiana	134	94	31	65	50	50	425
Iowa	101	96	33	42	70	50	392
Kansas	118	105	31	26	53	30	363
Kentucky	129	97	31	48	50	50	404
Louisiana	133	53	34	52	53	30	355
Maine	131	127	22	57	50	50	438
Maryland	136	100	50	90	43	30	448
Massachusetts	152	119	33	46	43	30	423
Michigan	118	94	29	44	43	30	357
Minnesota	104	90	30	38	43	30	335
Mississippi	145	63	35	52	43	30	368
Missouri	113	104	42	76	50	50	436
Montana	92	75	41	50	50	50	358
Nebraska	105	91	32	69	53	30	379
Nevada	130	54	50	21	53	30	338
New Hampshire	145	116	28	47	43	30	408
New Jersey	116	83	71	40	30	30	369
New Mexico	90	70	33	25	43	30	290
New York	119	123	30	47	50	30	399
North Carolina	127	80	20	51	50	50	378
North Dakota	109	88	42	19	42	35	334
Ohio	112	125	28	33	50	25	373
Oklahoma	121	101	39	34	53	30	378
Oregon	101	71	88	125	43	30	457
Pennsylvania	124	107	31	27	70	50	409
Rhode Island	139	122	33	42	53	30	420
South Carolina	150	65	31	106	43	30	425
South Dakota	118	87	26	34	70	50	384
Tennessee	134	72	36	77	43	30	392
Texas	145	70	45	62	43	30	394
Utah	81	66	41	107	43	30	368
Vermont	112	125	21	31	43	30	362
Virginia	137	90	36	31	53	30	377
Washington	98	87	78	73	43	30	409
West Virginia	140	87	105	113	30	30	505
Wisconsin	106	88	21	18	50	50	333
Wyoming	93	99	74	75	70	50	461
